"day_of_week,""seller"",""income"""
monday,AbrahamBennet,231845241
monday,AkikoYokomoto,0.0
monday,AlbertRinger,392378037
monday,AnnDull,39656842
monday,AnneRinger,53386960
monday,BurtGringlesby,118429815
monday,CharleneLocksley,108450662
monday,CherylCarson,77977656
monday,DeanStraight,192550177
monday,DirkStringer,759341454
monday,HeatherMcBadden,293014643
monday,InnesdelCastillo,260992756
monday,JohnsonWhite,98560781
monday,LiviaKarsen,132386625
monday,MarjorieGreen,97539868
monday,MeanderSmith,52160238
monday,MichaelO'Leary,138096277
monday,MichelDeFrance,479584920
monday,MorningstarGreene,67381290
monday,ReginaldBlotchet-Halls,103178571
monday,SherylHunter,153301531
monday,StearnsMacFeather,30778276
monday,SylviaPanteley,96399427
tuesday,AbrahamBennet,259058032
tuesday,AkikoYokomoto,0.0
tuesday,AlbertRinger,419021705
tuesday,AnnDull,38097807
tuesday,AnneRinger,55417862
tuesday,BurtGringlesby,114454017
tuesday,CharleneLocksley,102419645
tuesday,CherylCarson,76905547
tuesday,DeanStraight,183459091
tuesday,DirkStringer,734550037
tuesday,HeatherMcBadden,267891418
tuesday,InnesdelCastillo,285473369
tuesday,JohnsonWhite,100275590
tuesday,LiviaKarsen,145696077
tuesday,MarjorieGreen,102488970
tuesday,MeanderSmith,63913954
tuesday,MichaelO'Leary,125258270
tuesday,MichelDeFrance,467420386
tuesday,MorningstarGreene,67737440
tuesday,ReginaldBlotchet-Halls,89298153
tuesday,SherylHunter,163754750
tuesday,StearnsMacFeather,31056505
tuesday,SylviaPanteley,99289901
wednesday,AbrahamBennet,214842815
wednesday,AkikoYokomoto,0.0
wednesday,AlbertRinger,403718425
wednesday,AnnDull,35589006
wednesday,AnneRinger,46106241
wednesday,BurtGringlesby,119047498
wednesday,CharleneLocksley,106731411
wednesday,CherylCarson,66729906
wednesday,DeanStraight,168092851
wednesday,DirkStringer,642376642
wednesday,HeatherMcBadden,249479672
wednesday,InnesdelCastillo,245730067
wednesday,JohnsonWhite,89036568
wednesday,LiviaKarsen,156662691
wednesday,MarjorieGreen,94949352
wednesday,MeanderSmith,49655899
wednesday,MichaelO'Leary,134525040
wednesday,MichelDeFrance,439203900
wednesday,MorningstarGreene,64838804
wednesday,ReginaldBlotchet-Halls,80548671
wednesday,SherylHunter,140290965
wednesday,StearnsMacFeather,24953854
wednesday,SylviaPanteley,85876350
thursday,AbrahamBennet,226133920
thursday,AkikoYokomoto,0.0
thursday,AlbertRinger,405676715
thursday,AnnDull,36627441
thursday,AnneRinger,55678731
thursday,BurtGringlesby,103250742
thursday,CharleneLocksley,102081557
thursday,CherylCarson,70730736
thursday,DeanStraight,182913507
thursday,DirkStringer,693463720
thursday,HeatherMcBadden,289587875
thursday,InnesdelCastillo,247744631
thursday,JohnsonWhite,91715664
thursday,LiviaKarsen,168820566
thursday,MarjorieGreen,90204716
thursday,MeanderSmith,56688841
thursday,MichaelO'Leary,130193802
thursday,MichelDeFrance,481154816
thursday,MorningstarGreene,61407061
thursday,ReginaldBlotchet-Halls,89971577
thursday,SherylHunter,148434253
thursday,StearnsMacFeather,22585496
thursday,SylviaPanteley,91590683
friday,AbrahamBennet,233935361
friday,AkikoYokomoto,0.0
friday,AlbertRinger,357492148
friday,AnnDull,37433122
friday,AnneRinger,51753352
friday,BurtGringlesby,109360163
friday,CharleneLocksley,97761374
friday,CherylCarson,80473505
friday,DeanStraight,176048824
friday,DirkStringer,672023523
friday,HeatherMcBadden,245868793
friday,InnesdelCastillo,231816497
friday,JohnsonWhite,91757929
friday,LiviaKarsen,172939429
friday,MarjorieGreen,99954936
friday,MeanderSmith,53551957
friday,MichaelO'Leary,142326764
friday,MichelDeFrance,473980678
friday,MorningstarGreene,62929144
friday,ReginaldBlotchet-Halls,96796981
friday,SherylHunter,158669557
friday,StearnsMacFeather,28022436
friday,SylviaPanteley,91390800
saturday,AbrahamBennet,219357051
saturday,AkikoYokomoto,0.0
saturday,AlbertRinger,359055422
saturday,AnnDull,37658782
saturday,AnneRinger,48579237
saturday,BurtGringlesby,108212068
saturday,CharleneLocksley,100507641
saturday,CherylCarson,69224918
saturday,DeanStraight,176094743
saturday,DirkStringer,724561952
saturday,HeatherMcBadden,260891531
saturday,InnesdelCastillo,245765313
saturday,JohnsonWhite,91955960
saturday,LiviaKarsen,142421334
saturday,MarjorieGreen,95303142
saturday,MeanderSmith,53094397
saturday,MichaelO'Leary,131118669
saturday,MichelDeFrance,480574641
saturday,MorningstarGreene,64598714
saturday,ReginaldBlotchet-Halls,92451664
saturday,SherylHunter,143802265
saturday,StearnsMacFeather,27623848
saturday,SylviaPanteley,87097890
sunday,AbrahamBennet,232328748
sunday,AkikoYokomoto,0.0
sunday,AlbertRinger,362985486
sunday,AnnDull,34138287
sunday,AnneRinger,49050828
sunday,BurtGringlesby,112782280
sunday,CharleneLocksley,93745116
sunday,CherylCarson,69553595
sunday,DeanStraight,176873005
sunday,DirkStringer,698820601
sunday,HeatherMcBadden,266458384
sunday,InnesdelCastillo,244679491
sunday,JohnsonWhite,88933984
sunday,LiviaKarsen,137975384
sunday,MarjorieGreen,104815534
sunday,MeanderSmith,56678279
sunday,MichaelO'Leary,125981634
sunday,MichelDeFrance,438321488
sunday,MorningstarGreene,68473053
sunday,ReginaldBlotchet-Halls,80496472
sunday,SherylHunter,148514539
sunday,StearnsMacFeather,27431434
sunday,SylviaPanteley,95337213
